CityName,CityID
feidong,2615
pinghe,2684
linjiang,2460
sihong,143833
gonghe,2644
wanyuan,3094
sinan,2355
jiangkou,2334
qitaihe,1179
yuhuan,1006
qianjiang,985
fusong,2479
yongdeng,2793
zhangfeng,2599
liaoyuan,872
duolun,2967
wutai,1446115
yangxin,1446098
sheyang,998
haifeng,2946
binxian,2223
yuanmou,2197
zhijin,2362
wuning,2432
lingao,2458
haicheng,607
chengmai,2457
jiaohe,2471
jinxiu,1445186
daying,1395
hongdong,3015
zhongxiang,863
dalishi,1445616
yangxian,2753
dingan,2021
hulin,2224
yangcheng,2076
yongxing,143832
dushan,2354
nanzhang,2722
yangchun,961
xiangxiang,1850
huishui,2372
tianzhang,1739
cenxi,3056
hejin,3012
guangde,2631
kangping,2135
jiexi,2930
nanchangxian,2429
qianan,1446018
dangyang,2699
gaozhou,337
mengyin,2870
zouping,2911
maduo,120480
zhijiang,1507
yiyuan,1134
shicheng,2415
longchuan,2181
poyang,2385
jiayin,2228
huaiji,955
luoyuan,2663
anqiu,2867
wusheng,3105
fuping,1446068
shahe,2556
luanzhou,2573
huangmei,2689
zhangshu,1160
jianhu,3077
hongan,2723
xishui,2694
ningyuan,2847
zijin,2951
mengshan,3057
hepu,965
beizhen,2083
yidou,2705
peixian,3075
qixian,1446085
shiquan,2765
nielamu,2445
leizhou,2936
ruoqiang,120547
gutian,2674
longli,2357
zhanang,2451
shaowu,172
linghai,2139
funing,2187
ruichang,2397
jingtai,2802
yijinhuoluoqi,2966
pengan,3119
gongshan,1446282
luoding,1356
luxi,1445977
liling,2837
dongping,2894
xinyuan,2500
mojiang,2152
kuitun,1169
tiantai,1445965
pingyi,1875
lianshan,2944
gushi,2291
xixiang,2743
jiayu,2700
tongjiang,1446004
siyang,1097
yanshan,2553
sanyuan,2750
benxixian,1446026
jinchang,832
dazhu,3138
nongan,2472
juxian,2888
xiantao,775
fengkai,2931
jianshi,2696
helan,2119
anyue,3092
xichuan,2307
youxian,2862
shangnan,2756
nima,120383
huangping,120442
yuanling,120103
damaoqi,2961
xuanhan,3129
anduo,120385
cangxi,3111
lipu,2020
yadong,120090
dabu,2920
wuan,1566
bole,922
mazu,1445356
tonghai,2208
sishui,1138
xianghe,2526
nanjian,2163
enshishi,1446196
chongyang,2695
heshan,3053
guangrao,1769
qimen,2610
jiuzhi,1446312
quxian,3141
changjishi,2503
wuqiao,2520
gejiu,925
dafang,2348
changting,1445095
yingshan,3149
wuding,2153
faku,2131
renhuai,1905
qianxi,2339
luyi,2276
huanghua,1868
leiyang,1849
yunlin,3197
raoping,2932
pucheng,2653
lianhua,1445978
mengcheng,1872
tongbai,2281
heshun,120422
zaoyang,2718
binyang,3048
qiemo,1348
shiping,2191
yingshang,2634
xiangzhou,3060
jiaxiang,2874
pingding,2057
luntai,1569
minqing,2668
yuping,2350
lingshan,969
danxian,2897
gucheng,1446067
jingyang,2749
fangxian,2710
mianzhu,1446217
shucheng,2630
hejing,2485
jianning,2648
kaiyuan,1336
qingzhen,1782
junan,2104
wulian,2084
gongan,2714
xiushui,2399
kaiyang,2342
anhua,2811
xianfeng,2720
guiding,120451
badong,2688
pingle,3065
baisha,2455
jiangyong,2831
fuquan,2363
shehong,1944
youxi,2667
tanghe,2274
santai,3148
luliang,1140
qishan,2746
liuba,2761
suide,2769
jiaocheng,3033
baoying,3073
debao,3061
xingren,2340
muli,3100
huguan,1446117
jianchang,2129
lingwu,2323
pingnan,1398
wuping,2682
nanzhao,1446078
cangyuan,2161
linshui,3147
chongyi,2391
gaobeidian,1124
feicheng,1387
hanshou,2822
tunchang,845
pingtang,2335
mishan,1508
hanyuan,3090
guangning,2943
meihekou,2468
zhenfeng,120455
dayu,2395
tumotezuoqi,2963
yanyuan,3142
shibing,2352
yingxian,3006
pingyin,2879
feixian,2895
chenggu,143839
linxian,2998
wenxian,1446178
anlu,2685
guzhang,2821
hexian,2598
shaodong,1365
dingnan,2401
wenshang,2872
beiliu,3045
nanling,1445976
sandou,2349
anyuan,2381
hengzhou,966
shixing,2945
xingning,2918
lancang,2172
xiaxian,3025
xunyi,143857
wulateqianqi,2977
tongzi,2370
renqiu,1180
tangxian,2574
shishou,2691
songming,2202
laixi,1445084
yingjiang,2182
yongjing,2797
fuan,1446193
baoxing,3095
zhuoni,1446168
yongshun,1446211
anyangxian,2252
suiyang,2361
renshou,2336
yifeng,143843
taijiang,120447
taibai,2773
wuchuan,1446302
jinxian,2402
tianquan,2056
mianning,3091
diebu,1446184
jianli,2693
jinhu,368
dali,2748
jiacha,120409
qichun,2725
jianou,1157
fugu,2767
cangwu,3052
fenyang,2053
jianhe,120446
tonggu,2425
sangzhi,2851
jiangle,143875
qiongzhong,844
wengan,120450
jingyuan,1446154
baokang,143871
xiangcheng,3107
wugang,2293
xundian,2164
fengshan,2022
yuechi,3151
anguo,2514
helong,1446012
zhenping,1446148
yumen,2800
ruyang,2321
xintai,2886
huili,3106
erlianhaote,2976
miluo,989
wufeng,2712
meitan,2364
baishui,2736
lixin,2600
chengdexian,847
qiyang,2850
zhongjiang,3155
huantai,2910
leiwuqi,120400
fengxian,1446144
wannian,2428
sajia,2442
fengtai,2622
linze,2791
gulin,3166
donge,2893
guannan,3086
juye,2892
huayuan,2827
fangcheng,2275
linqing,2906
zhaodong,2246
guangshui,2716
cili,2816
xiongxian,2547
shanggao,2400
yunxi,120128
fuyuan,2190
pingchang,3132
qinghe,1446372
pengze,2383
lushui,927
dengzhou,2269
lazi,2444
tianzhu,2365
yongning,2324
zhangbai,2463
dongzhi,2608
longchang,3153
lanshan,2834
yuanjiang,2863
xinping,1446280
kalaqinqi,2968
huozhou,3029
longan,3042
hengdong,2823
qingyun,2890
lingyuan,2142
leping,2417
chaling,2812
yecheng,120489
zhangge,2055
chengbu,2814
xingshan,2692
xingwen,3120
bayan,2220
luxian,3157
susong,2597
runan,2317
alaer,120078
pingyuan,2882
ningshan,2735
yushu,2478
huilai,2917
laifeng,2707
yongxin,2412
quyang,2546
dashiqiao,1845
xuanwei,2160
xinbin,2138
mizhi,1895
biru,120390
linyou,143851
linxiang,2840
xinle,2543
taihe,2422
hejiang,3093
daan,2470
gangcha,892
dexing,1558
nandan,3059
xinxiangxian,2257
boai,2261
jianghua,2830
suixi,2594
lezhi,3143
cuoqin,120146
shawan,2504
longhua,2563
xiangyun,2156
linshu,2909
liucheng,3072
zhaoan,2676
yanggu,2889
huoqiu,2606
hengyangxian,2824
caoxian,2876
qixia,1445082
yuanping,3014
xinye,2262
gaotang,2902
xihua,2311
minyue,2803
yangzhong,1563
changyi,2880
sangri,120413
qingliu,2658
yanggao,2994
dingyuan,2605
tongguan,2780
neiqiu,2519
longhui,2841
yueyangxian,2864
wuxiang,3017
houma,3019
yuanqu,3018
luzhai,3054
maqin,2640
yuexi,1446236
shanyang,2760
zizhong,3163
beitun,120077
naimanqi,2980
huichang,143830
luannan,2577
ruzhou,1386
songzi,2697
jiajiang,3108
xichong,3116
wenan,2588
chayu,120394
zhaoxian,2578
jinping,2162
fuchuan,1446258
douan,3063
gongcheng,1446252
shangyou,2411
xinji,2541
hanchuan,2721
wangqing,2469
zhangwu,2763
xinhuang,143845
lingbi,2593
zhangning,3114
luchuan,971
shanghe,2900
nehe,2229
anyi,2378
guanyun,3088
fugong,1446273
yunmeng,2715
changning,2165
helingeer,2956
mianchi,2284
wuyang,2086
lveyang,2768
pingguo,3062
xupu,2859
hezhang,2368
shuifu,2200
longxian,2764
dongkou,2818
hejian,2522
yitong,2475
xincai,2318
jinta,2806
huimin,2868
quanjiao,2617
daming,2554
luquan,1446291
wengyuan,2913
shizong,2193
youyu,2085
jinxiang,2881
huadian,2459
lianshui,3085
gaoping,3003
yanhe,143828
yangqu,2999
gaoqing,2901
lingqiu,3008
luozha,120411
wudi,2877
xiangfen,3027
shiqu,1446228
jishui,143849
gaotai,2805
woyang,2635
xiangshui,3076
linquan,2596
zitong,3161
wushenqi,2954
dawu,2701
nileike,2492
yutian,1446390
luanping,645
qianguo,2474
longzhou,3046
chengxian,829
zhenxiong,2214
wanzai,2430
huachi,1446159
fengxin,2413
tancheng,2908
jinyang,1446237
dehui,2473
huma,2225
huangchuan,2309
cixian,2550
langxi,2632
huairen,3023
lianyuan,2836
pingshun,1446132
pingluo,2102
zhenglanqi,2975
weishi,2288
xiuwen,2347
maqu,1446182
ningming,1445085
puan,120453
xinghe,2959
zhongba,120376
linying,2259
lushi,2273
luobei,2222
zhenan,2770
minquan,2287
xiangyin,2855
xiyang,2988
yunxian,2206
xiaochang,2687
ningjin,2871
zhangyuan,2305
mozhugongka,1446407
luochuan,2772
guangling,3007
xuyong,3133
shimian,3158
yangyuan,2552
luodian,2360
atushen,921
tongxin,2327
huining,2789
datian,2656
cengong,120444
guangchang,2434
songtao,2358
zhouning,2683
doulan,2638
danzhai,120449
tekesi,1446388
chengcheng,2744
lingshou,1446047
qingchuan,1446240
shangcai,2256
lingyun,1446254
jianzha,1446320
longling,2184
qinshui,2983
hailun,2243
chengan,2535
huating,2786
suichuan,2418
potou,1729
dongguang,2566
wuzhi,2296
linzhang,2559
chenxi,2815
pingli,2737
xiuyan,2140
huazhou,2915
dengta,2146
leling,2896
huinan,2464
yanqi,120548
zhongmu,1446088
eshan,2183
jiaxian,1446133
xianxian,2524
neihuang,2292
yongfeng,2409
tumoteyouqi,1446334
aleitaishi,2482
wenshui,3009
etuokeqianqi,2979
zhushan,2724
hutubi,2495
yicheng,3002
zhongning,2328
boxing,1221
xiaoxian,2621
chengwu,2883
zhengyang,2312
yongren,2189
liangcheng,2974
laohekou,2711
akesushi,1446382
luoshan,1445146
wujiaqu,2493
langxian,120395
changle,2878
shayang,2686
wuhe,2607
jiangda,120398
queshan,2314
muleng,1445987
yugan,2423
huitong,2828
wusu,2497
changshan,1939
gongzhuling,1360
jinxi,2405
liulin,3016
huocheng,1446379
jingde,2620
chenbaerhuqi,1446352
fujin,2235
bobai,3049
donglan,120136
zhengning,2809
huaxian,2298
dingqing,2447
shunping,1446055
boli,851
tuanfeng,2708
chuxiongshi,1446264
rongan,3043
danfeng,2751
jieshou,2612
shuangliao,2477
tachengshi,2510
mabian,3162
mengzhou,2280
lintao,2787
luocheng,3050
xiangyuan,3034
xide,3117
dingbian,2754
tonghe,1446000
hetianshi,2487
jinshi,2833
lianping,2942
huolinguolei,2962
shangshui,2263
yuli,120546
jidong,2232
linwu,2839
yimen,2179
alashanyouqi,120362
dacheng,120066
anping,2517
guangshan,2087
weixi,1446265
yuanan,2713
yanjin,1446075
ruicheng,2986
taojiang,2854
qingxian,2533
heqing,2204
longxi,2796
majiang,120448
nancheng,2431
baofeng,2255
ninger,2166
mayang,2844
akesai,2783
dingxiang,2992
yongfu,1445352
youyi,1445992
zhongfang,2865
xiayi,2304
balinzuoqi,1446347
shuanghu,120393
xunyang,2747
dean,2398
shangdou,2957
huarong,2826
fangshan,1446129
cuona,120414
weiyuan,1446176
bailang,120377
xiangning,3031
xunhua,1446311
pingyu,2303
taipusiqi,1446353
xiajin,1575
shenzha,120386
pishan,2496
jianxian,2392
jinghe,2501
biyang,2258
ziyun,1780
qingshui,1446155
beipiao,1216
huojia,2316
sixian,2633
dongming,1768
suning,2571
yuqing,2353
dari,1446314
raohe,1445998
linli,2838
diaobingshan,2149
fenggang,2359
pingbian,1446293
jiahe,2829
kulunqi,1446346
fenyi,2416
shenqiu,2266
xunke,1445999
jiangan,3112
dangchang,2790
wucheng,2875
lean,2414
suixian,1446081
nanfeng,2435
jianping,2132
yunan,2938
pianguan,1446126
xunwu,143831
haiyuan,2325
anda,2218
xinjiang,2984
qingshuihe,1446364
xiji,1446188
laian,2629
qingcheng,2808
yuzhong,1446180
guyang,1446361
wuhua,1445185
nanmulin,120373
wangkui,2234
gaolan,2801
chabuchaer,1445195
daixian,1446104
dingxing,2558
tangyuan,2227
julu,2539
zuoquan,3037
wuqi,2732
derong,1446220
jiaoling,2925
fugou,2283
gaoyang,2582
zhangshun,120452
yongsheng,2192
zixi,2433
guanxian,2905
yucheng,1446096
xingan,2384
shenzhou,2564
gulang,2810
huaning,2209
zhecheng,2308
nanxian,2845
zhangjiachuan,2804
minfeng,2488
fengzhen,2953
nanhua,2159
qitai,1446384
renbu,120382
kailu,2965
lishu,2462
heishan,2141
hanyin,1446136
yushe,3028
zhenba,2774
zhangping,1446191
shouning,2673
gongqingcheng,143853
pingquan,2525
fusui,3068
tianzhen,3001
daoxian,2817
linkou,1445988
zhuozi,2978
tongwei,1446161
hefeng,1446199
heshuo,2491
dahua,1446251
tiane,3051
wulatezhongqi,2981
taikang,2271
abaxian,1446246
aketao,1446375
wangjiang,1445975
nangong,1446071
dancheng,2265
quwo,1446120
wuxue,1445077
ebian,3146
baqing,120392
kaijiang,3135
huaining,1445974
fushan,3000
gengma,2195
dechang,1446215
nanpi,2515
wanan,143850
guanling,1446303
ninghua,2681
qingan,2236
